engine,query,cores,time_min_s,time_mean_s,peak_mem_mb,rows_out
pandas,A,,3.922133207321167,8.056983828544617,7264.53515625,49
pandas,B,,4.564584970474243,6.07855749130249,6937.8125,21
pandas,C,,3.318369150161743,3.6025965213775635,7237.765625,7
polars_eager,A,,1.5615010261535645,2.04750919342041,7773.69921875,49
polars_eager,B,,1.23195481300354,1.4120548963546753,8141.63671875,1510
polars_eager,C,,3.1024796962738037,3.835843324661255,9699.9140625,7
polars_lazy,A,,0.6416630744934082,0.6701862812042236,9923.25390625,49
polars_lazy,B,,1.7794005870819092,1.9768967628479004,10502.390625,1510
polars_lazy,C,,1.1937837600708008,1.3289806842803955,10330.546875,7
duckdb,A,1.0,0.7770235538482666,0.920825719833374,10262.75390625,49
duckdb,B,1.0,6.3342742919921875,6.473262667655945,10799.78125,1510
duckdb,C,1.0,0.9454951286315918,0.9622985124588013,10326.515625,7
duckdb,A,2.0,0.6627531051635742,0.796364426612854,10115.60546875,49
duckdb,B,2.0,3.4025402069091797,4.629723787307739,10706.9296875,1510
duckdb,C,2.0,0.759213924407959,0.8964191675186157,10544.1171875,7
duckdb,A,4.0,0.6546449661254883,0.6994000673294067,10020.890625,49
duckdb,B,4.0,2.6579153537750244,2.7162963151931763,10643.48828125,1510
duckdb,C,4.0,0.6994225978851318,0.6994974613189697,10604.74609375,7
duckdb,A,8.0,0.5785598754882812,0.6696202754974365,10023.95703125,49
duckdb,B,8.0,2.128420352935791,2.3121153116226196,10896.046875,1510
duckdb,C,8.0,0.5765402317047119,0.6830648183822632,10501.33203125,7
spark_local,A,1.0,2.029101848602295,3.0187774896621704,9892.36328125,49
spark_local,B,1.0,3.303177833557129,3.4252614974975586,9892.48828125,1510
spark_local,C,1.0,1.5142624378204346,1.6097325086593628,9892.48828125,7
spark_local,A,2.0,0.9468235969543457,1.0881448984146118,9892.48828125,49
spark_local,B,2.0,6.049428939819336,6.792585968971252,9892.48828125,1510
spark_local,C,2.0,1.1981277465820312,1.2207828760147095,9892.48828125,7
spark_local,A,4.0,0.8916435241699219,0.9320390224456787,9892.48828125,49
spark_local,B,4.0,6.489305734634399,7.067497372627258,9892.48828125,1510
spark_local,C,4.0,0.992361307144165,1.1540969610214233,9359.98828125,7
spark_local,A,8.0,0.5849473476409912,0.7593173980712891,9327.48828125,49
spark_local,B,8.0,2.7956056594848633,2.796803832054138,9327.48828125,1510
spark_local,C,8.0,1.0558161735534668,1.9614287614822388,9327.48828125,7
